Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1635.3475568236058
FDW14,OUT017,1360.8769073480864
NCN55,OUT010,574.2818560028333
FDQ58,OUT017,2436.696016282168
FDY38,OUT027,5846.284465239467
FDH56,OUT046,1881.3111089780457
FDL48,OUT018,715.6076772074557
FDC48,OUT027,2226.645174873032
FDN33,OUT045,1575.104746457272
FDA36,OUT017,3160.9466809050045
FDT44,OUT017,1885.9277847068613
FDQ56,OUT045,1412.56819015568
NCC54,OUT019,573.008763391464
FDU11,OUT049,2019.2682916874703
DRL59,OUT013,804.8693148668175
FDM24,OUT049,2348.936363099491
FDI57,OUT045,2988.5755770360092
DRC12,OUT018,2923.2461046155126
NCM42,OUT027,2892.881658389706
FDA46,OUT010,503.3981248472176
FDA31,OUT013,2757.803676116896
NCJ31,OUT035,3794.33557180186
FDG52,OUT046,790.0099549699337
NCL19,OUT019,286.17066928021666
FDS10,OUT035,2952.5094026543097
FDX22,OUT010,569.9203752699891
NCF19,OUT035,781.7811276269388
NCE06,OUT046,2454.402579752805
DRC27,OUT046,3946.9016492243986
FDE21,OUT035,2016.8725849764903
NCR42,OUT019,131.80625081322768
FDX51,OUT018,2877.1489984946356
NCR06,OUT018,591.3686043200948
FDU31,OUT027,5847.642262698811
FDU59,OUT017,2396.853147968092
FDR03,OUT027,5847.642262698811
FDS49,OUT027,2096.231864727911
FDD48,OUT010,268.2801023754379
NCF18,OUT017,3037.434604877639
NCD43,OUT027,2860.1354454009042
NCD54,OUT018,2104.370278813994
FDY19,OUT010,268.2801023754379
NCY54,OUT017,2786.850817725553
NCL19,OUT018,2415.296550787301
FDP23,OUT010,573.8512753110048
FDC26,OUT013,1720.39881168333
FDR14,OUT010,131.80625081322768
NCS41,OUT035,3135.91404770868
FDF41,OUT035,3942.7429328987027
FDU34,OUT046,2068.8114764372217
DRH11,OUT046,976.2994365164469
FDM03,OUT013,1661.5868559216
FDS31,OUT017,3055.1299058497475
FDJ20,OUT017,1997.0120810989931
FDV44,OUT027,5154.635034236355
FDG02,OUT049,3209.4409149083
FDA09,OUT013,3109.3039953268412
FDT04,OUT013,651.3681377825234
FDL58,OUT019,573.5937516690417
FDE52,OUT045,1389.4231153798485
FDW12,OUT035,2392.9270789944826
FDL51,OUT017,3756.0249954730016
NCY42,OUT027,2996.281195369088
FDR07,OUT017,1547.4373752524189
FDN40,OUT045,2358.5226386661493
FDB35,OUT027,2703.364726716634
FDA22,OUT017,2411.4085920896414
NCL06,OUT046,4061.844459293634
FDI35,OUT013,3151.7674952996244
NCW42,OUT045,3613.8982958701386
NCX06,OUT049,2990.6363890937755
FDC37,OUT027,2874.8818025111414
FDZ14,OUT018,1895.0772369591978
DRG49,OUT049,3862.73287148347
NCG06,OUT045,3961.9295878307607
DRC36,OUT045,2928.2792677623684
FDV21,OUT019,281.2279702047285
FDB53,OUT046,2622.331019352401
DRP47,OUT019,572.9935388167734
FDA14,OUT013,2432.1686324158945
DRC24,OUT035,2568.666006458236
FDW21,OUT018,1625.8742620736034
NCH29,OUT046,1579.7524240051903
FDU58,OUT013,3178.1975045939703
FDY27,OUT017,2855.68934401335
FDV56,OUT035,1657.3676461308
FDT59,OUT046,3800.554252799273
FDB23,OUT046,3691.863119692818
FDR49,OUT045,775.6730055363654
FDB03,OUT010,573.2403192999342
FDN39,OUT045,2649.4665867201893
FDX02,OUT027,5847.642262698811
FDQ16,OUT027,2874.8818025111414
FDU35,OUT018,1521.2262755494155
NCT29,OUT013,1993.4540656329025
FDZ27,OUT046,789.1130238620487
FDN57,OUT017,2024.0158021049222
FDA03,OUT018,2394.3579313442483
FDZ36,OUT045,3196.2595386806656
NCU05,OUT013,1368.0601168753174
FDT39,OUT018,2381.4844706032236
FDK60,OUT017,1568.5751610218858
FDZ25,OUT017,2887.8216847802373
FDG12,OUT046,2104.9865673508075
DRB01,OUT019,503.61650658365744
NCC43,OUT027,5846.284465239467
FDX13,OUT019,573.0195065502661
FDM22,OUT049,890.9419263285577
FDJ03,OUT027,1087.0768605520443
FDU14,OUT018,3862.4873113513513
FDB33,OUT010,381.3783619159183
FDP27,OUT046,3223.9174711647806
FDO38,OUT010,157.5104753638824
FDE28,OUT027,5846.284465239467
FDO27,OUT035,1582.0977213430504
DRL23,OUT027,2869.390288192906
FDS28,OUT046,976.2488154856247
FDX24,OUT013,1418.7315500622328
FDZ02,OUT035,1563.8404418134378
FDL46,OUT045,1837.817976685829
FDS60,OUT027,4676.371348927413
